"Token","InstrumentName","ShortName","Series","ExpiryDate","StrikePrice","OptionType","CALevel","PermittedToTrade","IssueCapital","WarningQty","FreezeQty","CreditRating","NormalMarketStatus","OddLotMarketStatus","SpotMarketStatus","AuctionMarketStatus","NormalMarketEligibility","OddLotMarketEligibility","SpotMarketEligibility","AuctionMarketEligibility","IssueRate","IssueStartDate","InterestPaymentDate","IssueMaturityDate","MarginPercentage","MinimumLotQty","LotSize","TickSize","CompanyName","ListingDate","ExpulsionDate","ReAdmissionDate","RecordDate","LowPriceRange","HighPriceRange","SecurityExpiryDate","NoDeliveryStartDate","NoDeliveryEndDate","MF","AON","ParticipantInMarketIndex","BookClsStartDate","BookClsEndDate","ExcerciseStartDate","ExcerciseEndDate","OldToken","AssetInstrument","AssetName","AssetToken","IntrinsicValue","ExtrinsicValue","ExcerciseStyle","EGM","AGM","Interest","Bonus","Rights","Dividends","ExAllowed","ExRejectionAllowed","PlAllowed","IsThisAsset","IsCorpAdjusted","LocalUpdateDatetime","DeleteFlag","Remarks","BasePrice","ExchangeCode"
"7094","OPTCUR","GBPINR","OPTION","26-Jun-2025",115.2500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",4.695,6.29,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",5.4925,"GBPINR"
"7092","OPTCUR","GBPINR","OPTION","26-Mar-2025",115.2500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",4.1425,6.1275,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",5.135,"GBPINR"
"1630","OPTCUR","EURINR","OPTION","26-Jun-2025",98.7500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",0.07,0.17,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",1.53,"EURINR"
"3231","OPTCUR","GBPINR","OPTION","26-Jun-2025",115.0000,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",4.5175,6.0825,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",5.3,"GBPINR"
"9821","OPTCUR","EURINR","OPTION","26-Mar-2025",99.5000,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",7.51,9.05,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",4.815,"EURINR"
"2907","OPTCUR","GBPINR","OPTION","26-Mar-2025",115.0000,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",3.91,5.88,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",4.895,"GBPINR"
"6870","OPTCUR","EURINR","OPTION","26-Mar-2025",99.2500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",7.26,8.8,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",4.8675,"EURINR"
"1614","OPTCUR","EURINR","OPTION","26-Mar-2025",98.7500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",0.0025,0.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.9075,"EURINR"
"6732","OPTCUR","EURINR","OPTION","26-Mar-2025",99.2500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",0.0025,0.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.87,"EURINR"
"16292","OPTCUR","GBPINR","OPTION","26-Jun-2025",115.5000,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",4.8775,6.4975,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",5.6875,"GBPINR"
"1631","OPTCUR","EURINR","OPTION","26-Jun-2025",98.7500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",6.0675,7.5125,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",4.5075,"EURINR"
"16285","OPTCUR","GBPINR","OPTION","26-Mar-2025",115.5000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",0.02,0.065,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.0425,"GBPINR"
"16291","OPTCUR","GBPINR","OPTION","26-Jun-2025",115.5000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",0.5825,1.0025,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.7925,"GBPINR"
"6883","OPTCUR","EURINR","OPTION","26-Jun-2025",99.0000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",0.055,0.145,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",1.55,"EURINR"
"2680","OPTCUR","EURINR","OPTION","26-Sep-2025",98.2500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",0.415,0.705,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.1575,"EURINR"
